"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source"
"Mnatzaganian C.L.; Atayee R.S.; Namba J.M.; Brandl K.; Lee K.C.","Mnatzaganian, Christina L. (56397169800); Atayee, Rabia S. (25636695600); Namba, Jennifer M. (56120199500); Brandl, Katharina (18435931700); Lee, Kelly C. (8617097100)","56397169800; 25636695600; 56120199500; 18435931700; 8617097100","The effect of sleep quality, sleep components, and environmental sleep factors on core curriculum exam scores among pharmacy students","2020","Currents in Pharmacy Teaching and Learning","12","2","","119","126","7","12","10.1016/j.cptl.2019.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080917535&doi=10.1016%2fj.cptl.2019.11.004&partnerID=40&md5=7adacc8ae8bf1f01e8b349a180d36f28","Introduction: Sleep deprivation is associated with poor academic performance, although the impact on pharmacy students has been minimally reported. This study examined sleep quality in pharmacy students in the first (P1), second (P2), and third (P3) professional years during perceived low and high stress periods in a course. Individual sleep and environmental factors were also explored. Methods: This prospective cohort study used an 18-item survey adapted from the Pittsburgh Sleep Quality Index (PSQI) that included demographics, individual sleep components, and factors affecting sleep. Surveys were administered at the beginning of the quarter (low stress) and the week before final exams (high stress). Chi-square tests compared categorical variables; ANOVA/ANCOVA tests compared continuous variables. Results: During high stress, PSQI scores worsened among all classes and was significant for the P3s. Average sleep duration was 6.64 (SD 1.18) and 6.8 (SD 1.18) hours per night for P1s and P3s, respectively, at the beginning of the quarter; both groups had significant reduction in sleep duration at the end of the quarter. There were no significant correlations between PSQI and exam scores. Factors impacting sleep such as exercise, use of technology at bedtime, and work hours outside of school decreased during high times of stress, for P1s, P2s, and P3, respectively. Conclusions: Students demonstrated worsening sleep quality during high stress periods and less sleep than recommended. Academic performance was not adversely affected. Future research should use sleep logs and other performance measures to determine the impact of sleep quality on academic success and wellbeing. © 2019 Elsevier Inc.","Article","Final","","Scopus"
"Symes L.; McFarlane J.; Maddoux J.; Fredland N.","Symes, Lene (6602611489); McFarlane, Judith (57203253059); Maddoux, John (55520052000); Fredland, Nina (7801567144)","6602611489; 57203253059; 55520052000; 7801567144","Evaluating an Intergenerational Model to Explain the Path From Violence Against Mothers to Child Behavior and Academic Outcomes","2020","Violence Against Women","26","6-7","","730","749","19","6","10.1177/1077801219841444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065241165&doi=10.1177%2f1077801219841444&partnerID=40&md5=ddec4e0b7e36baf588367b602561deb2","An intergenerational model to explain the long-term effect of partner violence against mothers on child behavior was evaluated 48 months after 278 mothers first sought safe shelter or justice services. Twelve percent reported recent abuse, and six mothers reported severe or extreme danger. Self-efficacy (−.58, p <.05), social support (−28, p <.05), and financial support (−.25) were inversely associated with mental health concerns. Higher maternal mental health concerns (.55, p <.05) and child witnessing abuse (.70, p <.05) were associated with child behavioral problems. Child behavioral problems were inversely associated with child academic functioning (−.22, p <.05). To improve child outcomes, interventions that establish safety for mothers and children and promote maternal mental health are needed. © The Author(s) 2019.","Article","Final","","Scopus"
"Kristina S.A.; Widayanti A.W.; Sari I.P.","Kristina, Susi Ari (56626120200); Widayanti, Anna Wahyuni (57186635800); Sari, Ika Puspita (25621882600)","56626120200; 57186635800; 25621882600","Investigating perceived stress among final-year pharmacy students in Indonesia","2020","International Journal of Pharmaceutical Research","12","2","","439","444","5","9","10.31838/ijpr/2020.12.02.0067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079350909&doi=10.31838%2fijpr%2f2020.12.02.0067&partnerID=40&md5=2bd4c6a54fae466e480109e748b65d92","Background: High levels of stress among students leads negative impacts on academic performance and mental health. Study objectives were to assess perceived stress, types of stressors and coping strategies, as well as to determine the association of demographic characteristics with stress levels among student pharmacists in Indonesia. Methods: The present study was questionnaire-based cross-sectional study, carried out in Faculty of Pharmacy, Universitas Gadjah Mada in December 2019. About 330 final-year students took part in the study. Stress level was measured with 10 items Perceives Stress Scale (PSS), with previously validated and piloted to non-sample students. Descriptive analysis and chi-square test were applied to see the association between demographic groups and stress levels within each sample. Results: About 330 students (out of 351), with response rate 95%, were females (76%), mean age 22.5 (SD 0.86). Majority of students (87%) felt stress within 6 months. The mean PSS score was 29.87 (SD 9.65). A vast majority of students stated they were more stress when facing the national pharmacy examination (87%). Some coping strategies were used by students, with more than 60% of them had talk with friends. The association between students’ characteristics and stress prevalence, showed that female, professional degree, academic stressors were significantly related with higher stress level (p<0.05). Conclusion: Our study concluded that pharmacy students’ self-reported perceived stress cannot be neglected and highlight the necessity of providing these students with programs and activities to alleviate their stress and promote their mental health. Initiating preserve atmosphere and supportive healthy campus could be options to consider as priority. © 2020, Advanced Scientific Research. All rights reserved.","Article","Final","","Scopus"
"Ghashghaeizadeh N.","Ghashghaeizadeh, Nasrolah (57220195110)","57220195110","Designing and development model for improving the quality of work life of faculty members","2020","Iran Occupational Health","17","1","","","","","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097215535&partnerID=40&md5=852d8ac416ff8f762723c48f131d2612","Background and aims: One of the most important indicators of work life is the quality of work life that indicates to what extent individuals are able to meet their important personal needs (such as the need for independence) while working in an organization. This concept has been of interest to researchers and human scientists in recent years. Quality of work life includes opportunities to solve problems that are mutually beneficial to the employee and the organization and are based on collaboration in management, which can be improved to gradually change the pattern of interaction between people in the organization. Also, proper employee management can be used as a competitive advantage. In addition to affecting many job attitudes, such as job satisfaction, organizational commitment, and job attachment, work life quality affects individuals' personal, family, and social lives. Accordingly, the present study aims to design and development model for improving the quality of work life of faculty members. The definitions of quality of work life emphasize health promotion, well-being, job security, job satisfaction, competence enhancement, and work-life balance. Studies on the quality of work life indicate the importance of this concept by managers, and advocates of quality of work life are looking for new systems to help employees balance their work life and personal lives. Methods: The present study is descriptive in nature, applied in terms of its objective, and cross-sectional in terms of time. The statistical population of the study includes all full-time faculty members of Islamic Azad University of Behbahan and Khatam Al-Anbia University of Behbahan (N = 195), who were active in the second semester of the academic year of 2018-2019. Sample size is calculated by Cochran formula (n = 129), selected by simple random sampling. A researcher-made questionnaire is used for data collection. In this regard, factors affecting the quality of work life of faculty members are specified through a comprehensive study of articles on the quality of work life as well as the opinion of experts in the field of quality of life and used as the basis of the conceptual model. Considering the literature and the views of experts on factors affecting the promotion of quality of work life, a comprehensive understanding of the factors affecting the quality of work life of professors is obtained. In the first step, 143 components are identified. After sorting these factors in terms of thematic similarity, more comprehensive components are selected and minor components are removed. In the next step, the questionnaire is given to 5 academic experts and management experts. After receiving comments, some questions are corrected, merged, or removed. Finally, 57 influential components are identified and categorized into four categories of individual, organizational, managerial, and occupational factors. In the qualitative section, 5 experts are interviewed to ensure face validity. In this regard, the level of difficulty, appropriateness, and relevance of the items to the main purpose and transparency of the meanings of the components are assessed. To determine the face validity coefficient, a 5-point Likert scale is used for each of the 57 items of the tool and the questionnaire is distributed among 15 professors. The item impact factor is calculated, which indicate that all questions are scored above 1.5. In the quantitative section of the content validity, the index of content validity is used. Three criteria of ""relevance, clarity and simplicity"" in a five-point Likert scale are assessed by experts. All items scored above 0.80. The reliability of the questionnaire is calculated by Cronbach's alpha test. The total reliability coefficient of the questionnaire is 0.72. It is 0.73 for personal factors, 0.71 for organizational factors, 0.75 for management factors, and 0.76 for occupational factors. Results: The most important factors affecting the quality of work life of the professors are occupational factors, organizational factors, management factors and individual factors. According to participants, occupational factors affecting the quality of work life of faculty members are workplace mental health (ranked 1), occupational income (ranked 2), occupational security (ranked 3), workplace health and safety (ranked 4), proportion of teaching courses with expertise (ranked 5), required facilities and equipment (ranked 6), professional growth (ranked 7), job independence (ranked 8), teaching (workload) (ranked 9), lack of ambiguity in doing tasks (ranked 10), base (job position) (ranked 11), importance and meaning of work (ranked 12), role clarity (ranked 13), attention to research and innovation (ranked 14), increasing job capabilities and abilities (ranked 15), sharing experiences among colleagues (ranked 16), and job diversity (ranked 17). Organizational factors affecting the quality of work life of faculty members are organizational justice (ranked 1), fair payment and benefits system (ranked 2), on time promotion (ranked 3), intra-organizational communication (ranked 4), clarity of organizational laws and regulations (ranked 5), university development and growth (ranked 6), organizational discipline (ranked 7), interaction and collaboration of professors together (ranked 8), performance evaluation system (ranked 9), payment and benefit stability (ranked 10), organizational trust (ranked 11), organizational facilities (ranked 12), organizational image (ranked 13), flexible organizational structure (ranked 14), and innovative organizational environment (ranked 15). Management factors affecting the quality of work life of faculty members include fair interaction with professors (ranked 1), respect for expertise and professional attitude towards professors (ranked 2), appropriate feedback to professors (ranked 3), peer support of professors (ranked 4), continuous relationship of managers with professors (ranked 5), integrity of managers' behavior with professors (ranked 6), delegation of authority to professors (ranked 7), staff participation in decision making (ranked 8), attention to problems and timely resolution (ranked 9), transparent expectation of professors (ranked 10), using professors' viewpoints in developing organizational goals and policies (ranked 11), supportive supervision (ranked 12), applying system management (ranked 13), and flexibility in decision making (ranked 14). Individual factors affecting the quality of work life include job motivation (ranked 1), adjustment ability (ranked 2), expertise and experience (ranked 3), communication skills (ranked 4), hope and optimism (ranked 5), patience (ranked 6), positive attitude to job (ranked 7), decision making power (ranked 8), self-awareness (ranked 9), self-control (ranked 10), and personal creativity (ranked 11). Conclusion: Designing a model for enhancing the quality of work life of faculty members, and examining and prioritizing the effective individual, organizational, managerial, and occupational factors can guide authorities to improve the quality of work life and organizational health. According to the results, it can be said that the quality of work life of faculty members is one of the most important and effective concepts in higher education organizations and has an interactive nature in the organization, so that organizational policies can positively or negatively affect the quality of work life. According to the participants, job motivation is the first and foremost individual factor affecting the quality of work life of faculty members. Motivation plays a pivotal role in the field of management, both practically and theoretically. Organizational researchers consider it as a cornerstone in developing useful theories about effective management activities, such as the quality of work life. In line with the results, university officials are suggested to develop variables related to professors' job motivation, such as respect, participation in decision making, attention to needs, and trust. Organizational justice is ranked first among organizational factors influencing the quality of professors' work life. In fact, when employees feel that they are working in an organization that does not respect the principles of justice; they are exposed to perceptual and emotional pressures. Therefore, university officials are suggested to consider promoting fair behaviors as a management strategy and more or less promote fair behaviors in the university. Identifying factors that reduce perceptions of organizational justice behaviors among faculty members is one of the main tasks of university managers. In addition, it is suggested to increase the quality of work life by taking into account the sensitivity and complexity of the work and the level of expertise of faculty members, assigning responsibilities based on the level of capability of individuals, and reduce workforce stress by dividing the desired workload, and provide opportunities for growth by evaluating staff performance in terms of expertise, experience, and education. Respondents consider fair interaction to be the first management factors that influence the quality of work life of faculty members. Fair behavior is something that employees are sensitive to and expect its realization when they invest their capabilities in the organization. Therefore, fair dealing with faculty members plays an essential role in promoting and providing mental health and their perception of quality of work life. © 2020 Iran University of Medical Sciences. All rights reserved.","Article","Final","","Scopus"
"Khan S.; Shamama-Tus-sabah S.","Khan, Safina (58186546600); Shamama-Tus-sabah, Syeda (54413185000)","58186546600; 54413185000","PERCEIVED STRESS AND ITS ASSOCIATION WITH POSITIVE MENTAL HEALTH AND ACADEMIC PERFORMANCE OF UNIVERSITY STUDENTS","2020","Pakistan Armed Forces Medical Journal","70","5","","1391","1395","4","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119270134&partnerID=40&md5=b53fd233d5a80d95d83ccac930ae0f4d","Objective: To investigate the relationship between perceived stress, positive mental health and academic performance among university students. Study Design: Correlational study. Place and Duration of Study: Data was obtained from different universities of Rawalpindi and Islamabad, Pakistan including Bahria University, PMAS Arid Agriculture University, Foundation University, COMSATS University and Riphah International University from Dec 2018 to Apr 2019. Methodology: Sample of 261 students of ages 19-25 years (mean age 21.17 ± 1.71 SD), recruited from BS-programmes from different universities by using purposive sampling technique to explore the relationship between perceived stress, positive mental health and academic performance among university students. Respondents were assessed on Demographic form, Perceived Stress Scale and Warwick-Edinburg Mental Health Wellbeing Scale. Results: Linear regression was run to study perceived stress as a significant predictor of positive mental health and academic performance of undergraduates. The students mean age was 21.17 ± 1.71 SD. The results showed perceived stress a significant predictor of positive mental health (R=0.487; R2=0.237, F=80.328, p<0.01) and academic performance (R=0.224; R2=0.050, F=13.636, p<0.01). Conclusion: It is concluded from findings of this research that perceived stress has a significant negative impact on positive mental health and positive impact on academic performance. © 2020, Army Medical College. All rights reserved.","Article","Final","","Scopus"
"Alif A.; Nelson B.S.; Stefancic A.; Ahmed R.; Okazaki S.","Alif, Ahmed (57208570342); Nelson, Bryan S. (57221866979); Stefancic, Ana (6507873636); Ahmed, Riya (57208569664); Okazaki, Sumie (7202222684)","57208570342; 57221866979; 6507873636; 57208569664; 7202222684","Documentation Status and Psychological Distress Among New York City Community College Students","2020","Cultural Diversity and Ethnic Minority Psychology","26","1","","11","21","10","16","10.1037/cdp0000290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065126259&doi=10.1037%2fcdp0000290&partnerID=40&md5=0fc0096f3e98451eb2ace965d7c54eda","Objective: This research study examined how psychological distress, self-esteem, and academic performance differ across at-risk, temporary, and stable immigration statuses and whether fear of one’s own deportation and that of family members is associated with psychological distress. Method: We surveyed 150 community college students (51% female; Mage = 22.7, SDage = 2.4) with 3 types of immigration statuses: stable (citizen), temporary (Deferred Action for Childhood Arrivals [DACA] and visa), and at-risk of deportation (undocumented). One-way analyses of covariance examined whether fear of deportation, psychological distress, self-esteem, and academic performance varied across immigration statuses. Regression analyses examined the associations among fear of deportation for self and for family members, depression, and isolation and alienation. Results: Participants with at risk and temporary statuses reported higher fear of deportation for self, fear of family members being deported, psychological distress, and higher self-esteem than those with stable status. Academic performance did not differ across immigration statuses. Within the temporary status, DACA students experienced higher anxiety, isolation, and alienation than other temporary status students. Fear of deportation for self and family members predicted depression and isolation and alienation. Both regression analyses controlled for age, sex, region of origin, hours of work, hours of sleep, and socializing per day. Conclusion: The study provides new insights into how immigration status influences the psychological well-being of community college students and introduces a quantifiable framework to better understand the construct of fear of deportation. © 2019 American Psychological Association","Article","Final","","Scopus"
"Son C.; Hegde S.; Smith A.; Wang X.; Sasangohar F.","Son, Changwon (57200825032); Hegde, Sudeep (36679154400); Smith, Alec (56128199400); Wang, Xiaomei (57218861128); Sasangohar, Farzan (36025822300)","57200825032; 36679154400; 56128199400; 57218861128; 36025822300","Effects of COVID-19 on college students' mental health in the United States: Interview survey study","2020","Journal of Medical Internet Research","22","9","e21279","","","","1557","10.2196/21279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090491857&doi=10.2196%2f21279&partnerID=40&md5=8e767550fc09eb8ace909db0612b6eb7","Background: Student mental health in higher education has been an increasing concern. The COVID-19 pandemic situation has brought this vulnerable population into renewed focus. Objective: Our study aims to conduct a timely assessment of the effects of the COVID-19 pandemic on the mental health of college students. Methods: We conducted interview surveys with 195 students at a large public university in the United States to understand the effects of the pandemic on their mental health and well-being. The data were analyzed through quantitative and qualitative methods. Results: Of the 195 students, 138 (71%) indicated increased stress and anxiety due to the COVID-19 outbreak. Multiple stressors were identified that contributed to the increased levels of stress, anxiety, and depressive thoughts among students. These included fear and worry about their own health and of their loved ones (177/195, 91% reported negative impacts of the pandemic), difficulty in concentrating (173/195, 89%), disruptions to sleeping patterns (168/195, 86%), decreased social interactions due to physical distancing (167/195, 86%), and increased concerns on academic performance (159/195, 82%). To cope with stress and anxiety, participants have sought support from others and helped themselves by adopting either negative or positive coping mechanisms. Conclusions: Due to the long-lasting pandemic situation and onerous measures such as lockdown and stay-at-home orders, the COVID-19 pandemic brings negative impacts on higher education. The findings of our study highlight the urgent need to develop interventions and preventive strategies to address the mental health of college students. © Changwon Son, Sudeep Hegde, Alec Smith, Xiaomei Wang, Farzan Sasangohar. Originally published in the Journal of Medical Internet Research (http://www.jmir.org), 03.09.2020. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on http://www.jmir.org/, as well as this copyright and license information must be included.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Kondo T.; Li H.; Yang Y.Y.; Majumdar R.; Ogata H.","Kondo, Taisho (57221563900); Li, Huiyong (57203988596); Yang, Yuan Yuan (57205448290); Majumdar, Rwitajit (26638963500); Ogata, Hiroaki (7202919226)","57221563900; 57203988596; 57205448290; 26638963500; 7202919226","Design explorations to support learner's mental health using wearable device and GOAL application","2020","ICCE 2020 - 28th International Conference on Computers in Education, Proceedings","1","","","394","399","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099467981&partnerID=40&md5=b295045a62bbe2e3e45a2cfc4df3977a","Increasing the number of patients with symptoms of depression makes maintaining Mental Health concern in many societies calling for global attention. In children, stress and depression have a detrimental effect on their developmental emotions and physical health. From the perspective of a student, daily stress can affect their learning activities. Hence, to tackle this issue, it is necessary to develop their ability to manage mental health. Self Direction Skills (SDS) can support to develop such an ability. Current wearable devices can acquire physical activity and physiological data to compute stress levels, and sleep quality. While it makes it possible to visualize the amount of stress received in daily life, no such program is linked to the daily learning life of a student. To fill in this gap we extend our earlier developed GOAL system which already synthesizes students' physical activity and learning data and explores possibilities of integrating internet-based Cognitive Behavioral Therapy (iCBT) with our previously proposed DAPER model as an applicable method to deal with daily stress in academic life. We use the wearable devices to automatically track stress levels, and map activities of training students' mental health managing ability to the DAPER phases. Students can make a plan in the GOAL system to reduce stress by selecting a cycle of practice as suggested by iCBT. To inform our system design we conducted a pilot study with 120 students at a junior high school level. This paper presents an exploratory data analysis of 60 students, whose learning performance from english and mathematics courses and stress levels over 133 days were collated. © ICCE 2020 - 28th International Conference on Computers in Education, Proceedings. All rights reserved.","Conference paper","Final","","Scopus"
"Caridade S.; Sani A.; Nunes L.M.; Dinis M.A.P.","Caridade, Sónia (35725077400); Sani, Ana (57216360828); Nunes, Laura M. (50262710600); Dinis, Maria Alzira Pimenta (55539804000)","35725077400; 57216360828; 50262710600; 55539804000","Youth victims of community violence: Developmental outcomes and prevention challenges","2020","Victims of Violence: Support, Challenges and Outcomes","","","","279","290","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125978063&partnerID=40&md5=cbc9253f4017c10c6b1d222ea0caa203","Community violence (CV) is recognized as a complex problem, with multiple origins and expressed in variable ways, encompassing different types of violence and crimes (e.g., assault, rape, robbery), as a result of circumstances that are related to the characteristics of the environment. Due to socialization and independence processes that are part of youth developmental pathways, young people tend to spend more time away from home and on the street, becoming more exposed to violence and thus also contributing to repeated victimization processes. Different studies have shown that distinct situations may promote numerous victimization processes, with a particular impact on the developmental outcomes of youth and causing great suffering. It has been reported that exposure to violence in the community is associated with mental health issues, i.e., post-traumatic stress disorder (PTSD), anxiety, depression, poor academic performance, aggressive and antisocial behaviours, alcohol and substance abuse, along with multiple adverse health risk behaviours, suicidal ideation, and also resulting in subsequent homelessness in adulthood. With this review chapter, it is intended to analyse and discuss the impact that CV exposure has on youth, accompanied with practical proposals to prevent it. The concept of CV and the different types of violence and crimes that could be involved are examined, mapping the prevalence of youth affected by this form of violence, analysing the effects of exposure to CV, and concluding with initiatives aimed to contribute to the prevention against this sort of violence, and to minimize the consequences and suffering involved. © 2020 Nova Science Publishers, Inc.","Book chapter","Final","","Scopus"
"Morales S.T.T.; Quinchalef G.P.V.; Vera J.A.A.; Muñoz S.I.M.; Contreras K.M.W.","Morales, Silvana Trinidad Trunce (57919939000); Quinchalef, Gloria Del Pilar Villarroel (57920628600); Vera, Jenny Andrea Arntz (58896246100); Muñoz, Sonia Isabel Muñoz (58896457900); Contreras, Karlis Mariela Werner (58894934600)","57919939000; 57920628600; 58896246100; 58896457900; 58894934600","Levels of Depression, Anxiety, Stress and its Relationship with Academic Performance in University Students; [Niveles de depresión, ansiedad, estrés y su relación con el rendimiento académico en estudiantes universitarios]","2020","Investigacion en Educacion Medica","9","36","","8","16","8","23","10.22201/fm.20075057e.2020.36.20229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185473744&doi=10.22201%2ffm.20075057e.2020.36.20229&partnerID=40&md5=6a6400721ec9e53d7d02f105c0c324e8","Introduction: For students, the transition from an educational establishment to the university constitutes an important change, both in social and academic terms, which can affect mental health, considering academic requirements, learning difficulties, and the acquisition of new skills. for professional development, self-management of hours, insertion in a new educational environment, among others. Objective: To determine the levels of stress, depression and anxiety in first-year university students in the health areas, relating them to academic performance. Method: A descriptive, exploratory, non-experimental, cross-sectional design was used. The sample was non-probabilistic of 186 students from a public university in southern Chile, of the health department, which was determined considering a confidence level of 95% and an alpha error of 5%. The abbreviated Chilean version of the DASS-21 depression, anxiety and stress scales were applied, consisting of 21 items, with four response alter-natives in a Likert scale format. The research protocol carried out was approved by the Scientific Ethical Committee of the Reloncaví Health Service. Results: The prevalence of these disorders when shown in a grouped way, for the total of the 186 students consulted; 29.00% have some disorder associated with de-pression, 53.20% with anxiety and 47.80% with stress. A statistically significant association was observed between the variables anxiety and academic performance. Conclusions: It can be concluded that there is an association between the academic performance of the students with the anxiety variable, but not with stress and depression disorders. © 2020, Universidad Nacional Autonoma de Mexico. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Abiade J.; Moliski J.","Abiade, Jeremiah (7801466839); Moliski, Joanne (57219845865)","7801466839; 57219845865","Work-in Progress: Identity and transitions laboratory: Utilizing acceptance and commitment therapy framework to support engineering student success","2020","ASEE Annual Conference and Exposition, Conference Proceedings","2020-June","","1749","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095733329&partnerID=40&md5=4e82122ed67e2a45cfe1153701ebd47b","Motivation This work in progress describes a program recently implemented at our institution to proactively prepare students to deal with poor mental health, periods of intense stress, and mental and emotional disorders (MED) generally. In a review of 11 articles, Storrie et. al. determined that the number of students with documented MEDs is increasing dramatically [1]. Approximately half of the students involved in the various studies reported that their MED started after they began their undergraduate studies [1]. At our institution we are seeing dramatic increases in the demand for counseling services. A related concern is the prediction of an impending enrollment crisis in higher education. The so-called 'Demographic Cliff' has provided additional motivation to improve retention and graduation rates as the number of college-going students in many states in the United States is expected to decline. We are in the midst of a multi-year study to understand the extent to which our students are experiencing poor mental health and emotional trauma and how this may impact their academic progress. We are particularly interested in student reception to discourses on MED and whether a proactive approach lessens the stigma [1] related to MED with related increases in retention and graduation rates. Background on problem The World Health Organization estimates that 1in 3 first-year college students experience a mental health disorder[2]. In a survey of Canadian college students, Sandhu et al. found that among those affected, there was significant impact on their academic performance with stress (~ 42%), anxiety (~ 33%), and depression (~21 %) being causes of MED related poor academic [3]. While considerable research has been done on undergraduate student wellbeing, very few studies specifically target the impact of MED on engineering students. Foremost among the findings of studies on MED in undergraduate is that stigma related to MED is a barrier to students seeking help [1]. In the design of our program we considered that stigma may be especially acute for engineering students. Many engineers valorize the toughness of engineering programs and celebrate high attrition as a sign that only the best engineering students are making it through [4]. Chew-Graham et al. have found that medical students (a field of study where difficulty in study may also be conflated with rigor) avoid seeking help for MED because they believe acknowledging a mental health issue is a sign of weakness [1,5]. Roberts et al. found that the tendency to forego help for MED is more pronounced for women and racial minorities [1,6]. The existing literature is clear that college students are facing an epidemic of mental health issues. Outside of the decreased quality of life for students, there is an academic cost and a cost to institutions as students fail to achieve their academic goals and often drop out. Intense stress and other comorbid conditions such as depression, anxiety, and post-traumatic stress disorder (PTSD) compromise the cognitive functions critical for learning engineering concepts [7]. These disorders affect students' emotional intelligence, coping strategies for stress, and the ability to successfully complete exams [8]. Student's ability to process information can be slowed down past the rate it is being provided in a classroom setting, resulting in low levels of learning occurring in the classroom [9]. Students with untreated anxiety disorders may not be able to manage a classroom environment or form social relationships with classmates and professors [10]. With so many of the skills and abilities required for collegiate success affected by poor mental health qualify of life (MHQoL), the effect on a student's ability to be successful in the classroom can be profound. © American Society for Engineering Education 2020.","Conference paper","Final","","Scopus"
"Grant J.E.; Lust K.; Christenson G.A.; Redden S.A.; Chamberlain S.R.","Grant, Jon E. (7403161219); Lust, Katherine (24467144400); Christenson, Gary A. (7005645583); Redden, Sarah A. (56656412900); Chamberlain, Samuel R. (24723599200)","7403161219; 24467144400; 7005645583; 56656412900; 24723599200","Gambling and its clinical correlates in university students","2019","International Journal of Psychiatry in Clinical Practice","23","1","","33","39","6","11","10.1080/13651501.2018.1436715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041836630&doi=10.1080%2f13651501.2018.1436715&partnerID=40&md5=2bef5167df105cff82782312320616f6","Objective: This study sought to examine the prevalence of gambling disorder (GD) in a university sample and its associated physical and mental health correlates. Methods: A 156-item anonymous online survey was distributed via random email generation to a sample of 9449 university students. Current use of alcohol and drugs, psychological and physical status and academic performance were assessed, along with questionnaire-based measures of impulsivity and compulsivity. Positive screens for GD were based upon individuals meeting DSM-5 criteria. Results: A total of 3421 participants (59.7% female) were included in the analysis. The overall prevalence of GD was 0.4%, while an additional 8.4% reported subsyndromal symptoms of GD. GD was significantly associated with past-year use of cocaine, heroin/opiate pain medications, sedatives, alcohol and tobacco. Those with GD were more likely to have generalized anxiety, PTSD and compulsive sexual behavior. Questionnaire-based measures revealed higher levels of both compulsivity and impulsivity associated with disordered gambling. Conclusions: Some level of gambling symptomatology is common in young adults and is associated with alcohol and drug use, as well as impulsive and compulsive behaviors. Clinicians should be aware of the presentation of problematic gambling and screen for it in primary care and mental health settings. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Article","Final","All Open Access; Green Open Access","Scopus"
"Malibary H.; Zagzoog M.M.; Banjari M.A.; Bamashmous R.O.; Omer A.R.","Malibary, Husam (57210942925); Zagzoog, Mohammad M. (57205566419); Banjari, Maysaa A. (57201462015); Bamashmous, Ryan O. (57205564264); Omer, Anoud R. (57210943155)","57210942925; 57205566419; 57201462015; 57205564264; 57210943155","Quality of Life (QoL) among medical students in Saudi Arabia: A study using the WHOQOL-BREF instrument","2019","BMC Medical Education","19","1","344","","","","34","10.1186/s12909-019-1775-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071987555&doi=10.1186%2fs12909-019-1775-8&partnerID=40&md5=1031b1cf4291c8c55c78932cf2e3ddd7","Background: Poor Quality of Life (QoL) among medical students is associated with an unhealthy lifestyle, psychological distress, and academic failure, which could affect their care for patients in the future. This study aimed to evaluate the reliability and validity of the Arabic WHOQOL-BREF tool among Saudi medical students and to assess the effect of gender, educational level, and academic performance on their QoL. Methods: This was a cross-sectional study among medical students of King Abdulaziz University in February 2016, using the Arabic version of the WHOQOL-BREF instrument. Results: Six-hundred-thirty medical students were included, where females constituted (51.1%). Cronbach's α coefficient for the overall domains of WHOQOL-BREF was 0.86. Students' self-reported QoL mean score was 3.99 ± 0.95, and their mean score for the overall satisfaction with health was 3.66 ± 1.06. The environmental domain had the highest mean score (67.81 ± 17.39). High achievers showed lower psychological health, while poor academic performance was associated with better psychological health and social relationship QoL scores (P < 0.013 and P < 0.014, respectively). Conclusions: The WHOQOL-BREF is valid and reliable for assessing QoL among Saudi medical students. Although gender and academic year had no impact on the students' QoL, better-performing students reported lower psychological health and social relationships scores. © 2019 The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
